,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
20106,20106,Quinta de Foz de Arouce 2010 Baga-Touriga Nacional (Beiras),Quinta de Foz de Arouce 2010 Baga-Touriga Nacional (Beiras),Quinta de Foz de Arouce,Baga-Touriga Nacional,Red,"Big, black colored wine that is firm and solid while also offering smooth richness. It has concentration, dense and bitter tannins that need time to soften out. Powerful and dense, age this wine for at least four years.",Portugal,Beiras,20,91
20311,20311,Pala 2014 I Fiori  (Monica di Sardegna),Pala 2014 I Fiori  (Monica di Sardegna),Pala,Monica,Red,"This generous, friendly red opens with aromas that recall ripe dark berry and star anise. The round, juicy palate doles out ripe blackberry, crushed black cherry, licorice and ground pepper alongside soft, supple tannins. Enjoy soon.",Italy,Sicily & Sardinia,20,88
21009,21009,La Selva 2008  Maremma,La Selva 2008  Maremma,La Selva,Ciliegiolo,Red,"Made from organically farmed Ciliegiolo (one of the great indigenous varieties of Tuscany), this opens with cherry and cured meat notes, and it shows a bright, tart quality on the finish.",Italy,Tuscany,28,86
21078,21078,Solms-Delta 2009 Amalie Viognier-Grenache Blanc (Western Cape),Solms-Delta 2009 Amalie Viognier-Grenache Blanc (Western Cape),Solms-Delta,Viognier-Grenache Blanc,White,"An interesting wine, this blend offers a complex nose of ripe whole lychee and fresh pressed apple aromas countered by glimmers of beeswax and rose florals. More red apple unfolds in the round mouth, with a touch of sweet lime oil freshening up the finish.",South Africa,Western Cape,35,87
21084,21084,Releaf 2009 Made With Organically Grown Grapes Cabernet Sauvignon-Merlot-Shiraz (Western Cape),Releaf 2009 Made With Organically Grown Grapes Cabernet Sauvignon-Merlot-Shiraz (Western Cape),Releaf,Cabernet Sauvignon-Merlot-Shiraz,Red,"A tasty, value-priced organic red that's perfect for grilled meat entrées with notes of mulled spices and espresso among the black berry and plum fruit core. Black cherry skins flesh out the medium-weight mouth, with firm tannins providing a tight structure and lingering through the long finish. Drink now–2012.",South Africa,Western Cape,10,87
21896,21896,La Zorra 2014 Teso de la Media Fanega Rufete (Sierra de Salamanca),La Zorra 2014 Teso de la Media Fanega Rufete (Sierra de Salamanca),La Zorra,Rufete,Red,"Earthy aromas of roasted red plum blend with scents of latex and cured meat on a jumbled nose. Like any Rufete, this feels drawing and rubbery, with choppy tannins. Flavors of tomato, currant and red plum are tart and narrow on a drawing finish.",Spain,Central Spain,22,85
21951,21951,Treana 2010 Marsanne-Viognier (Central Coast),Treana 2010 Marsanne-Viognier (Central Coast),Treana,Marsanne-Viognier,White,"Very rich, but a little heavy, this features orange, pineapple and mango flavors that are reminiscent of a juice drink. The sweet-tasting finish gives it a candied edge.",US,California,20,84
22025,22025,Stift Klosterneuburg 2013 Zierfandler-Rotgipfler (Thermenregion),Stift Klosterneuburg 2013 Zierfandler-Rotgipfler (Thermenregion),Stift Klosterneuburg,Zierfandler-Rotgipfler,White,"A restrained but lusciously ripe pear scent emanates from the deep, rounded and nutty core, supported by acidic verve.",Austria,Thermenregion,25,91
22046,22046,Abbazia di Novacella 2011 Praepositus Veltliner (Alto Adige Valle Isarco),Abbazia di Novacella 2011 Praepositus Veltliner (Alto Adige Valle Isarco),Abbazia di Novacella,Veltliner,White,"Full-bodied and elegant, it discloses aromas of white spring flowers, aromatic herbs and stone fruit. The juicy palate offers tart green apple, yellow peach, ripe cantaloupe, white pepper and mint alongside crisp acidity. The lingering finish closes on an energizing mineral note.",Italy,Northeastern Italy,30,91
22118,22118,Burja 2011 Petite Burja Zelen (Vipavska Dolina),Burja 2011 Petite Burja Zelen (Vipavska Dolina),Burja,Zelen,White,Honey and orange rind notes meld with a hint of waxy lanolin on this richly textured white wine. Savory hints of smoke and black tea are balanced with a touch of bright citrus rind and a delicate salinity that lingers on the finish.,Slovenia,Vipavska Dolina,36,88
22446,22446,Turasan 2013 Emir (Turkey),Turasan 2013 Emir (Turkey),Turasan,Emir,White,"Aromas of grapefruit, orange peel and freshly starched sheets give way to flavors of lemon curd, grapefruit, hazelnut and rose petal in this wine made of 100% Emir, a native Turkish variety. There is a sense of brightness on the palate, and the soft floral finish features a final spray of citrus.",Turkey,Turkey,15,88
22572,22572,Kracher NV Zwischen den Seen Nummer 3 Kollektion L08A Rosenmuskateller (Austria),Kracher NV Zwischen den Seen Nummer 3 Kollektion L08A Rosenmuskateller (Austria),Kracher,Rosenmuskateller,Red,"Made from Rosenmuskateller (a pink-tinted grape), this wonderfully perfumed wine is such a curiosity that it can only legally be table wine, a super Austrian. There are flavors of rosehip, ginger and a wondrous freshness.",Austria,Austria,150,92
22691,22691,Pascual Toso 2013 Magdalena Toso Barrancas Vineyards Paul Hobbs Barrels Selection Limited 23 Barrels Malbec-Cabernet (Mendoza),Pascual Toso 2013 Magdalena Toso Barrancas Vineyards Paul Hobbs Barrels Selection Limited 23 Barrels Malbec-Cabernet (Mendoza),Pascual Toso,Malbec-Cabernet,Red,"Cool, piercing aromas suggest wood grain and maple alongside blackberry and cassis scents. This massive wine is tannic, but meaty and friendly at its base. Savory, inky flavors of plum and floral-berry fruits finish with strong oak; fortunately this has the structure and fruit to handle it. Drink through 2024.",Argentina,Mendoza Province,130,93
22752,22752,Mills Reef 2009 Gimblett Gravels Reserve Merlot-Malbec (Hawke's Bay),Mills Reef 2009 Gimblett Gravels Reserve Merlot-Malbec (Hawke's Bay),Mills Reef,Merlot-Malbec,Red,"At nearly 80% Merlot and the remainder Malbec, this is a medium-bodied red possessed of bright, vibrant cassis fruit with chocolate and herb overtones. It finishes firm without being hard or tough, so it may be consumed now and over the next 5–7 years.",New Zealand,Hawke's Bay,20,89
23035,23035,Lionel Osmin & Cie 2010  Marcillac,Lionel Osmin & Cie 2010  Marcillac,Lionel Osmin & Cie,Mansois,Red,"Marcillac is one of the more remote French regions located in the hills of the Massif Central. Mansois is the local red grape, and here it has produced a perfumed wine, with red berry fruit that's lined with herb and lavender notes. It has a tense streak of acidity that cuts through the palate, leaving a balance of fruit and dry tannin.",France,Southwest France,19,87
23315,23315,Vestini Campagnano 2012 Pallagrello Bianco (Terre del Volturno),Vestini Campagnano 2012 Pallagrello Bianco (Terre del Volturno),Vestini Campagnano,Pallagrello Bianco,White,"Elegant and structured, it's made from Campania's native Pallagrello Bianco, a rare grape that's almost unknown outside of the region. It has citrus, peach and chalky mineral sensations accented with a thyme note.",Italy,Southern Italy,20,88
23399,23399,San Juan Vineyards 2012 Estate Grown Madeleine Angevine (Puget Sound),San Juan Vineyards 2012 Estate Grown Madeleine Angevine (Puget Sound),San Juan Vineyards,Madeleine Angevine,White,"Estate-grown in the San Juan islands, this did well in 2012, a relatively warm year in western Washington. Ripe grapefruit, mint jelly and a bit of cotton candy combine to craft a pleasant quaffing wine.",US,Washington,17,86
23867,23867,Fenestra 2007 Silvaspoons Vineyard Alvarelhão (Lodi),Fenestra 2007 Silvaspoons Vineyard Alvarelhão (Lodi),Fenestra,Alvarelhão,Red,"A Livermore Valley sourcing a Portuguese red grape variety from a Lodi vineyard. Does it work? The wine's dark purple yet subdued at first in flavor, opening slightly into tones of blueberry, raspberry and sour cherry, a smidgen of spice on the finish. Worth trying.",US,California,18,85
24176,24176,Tsantali 2003 Maronia Vineyard Mavroudi (Thraki),Tsantali 2003 Maronia Vineyard Mavroudi (Thraki),Tsantali,Mavroudi,Red,"This 100% Mavroudi, a regional red wine of Thrace, has an expressive, red-fruit nose with warm hints of vanilla and smoky spice. Grown in northeastern Greece on an ancient site overlooking the Aegean Sea, this is smooth and velvety with rich, spicy flavors and a lingering finish. Its texture and complexity lends it to pairings with more opulent dishes like rack of lamb and beef stew, but alternately, consider its Mediterranean roots and sip alongside a plate of spicy black olives or a Greek salad.",Greece,Thraki,12,87
24473,24473,Yamhill Valley 2016 Rosé of Pinots Pinot Blanc-Pinot Noir (McMinnville),Yamhill Valley 2016 Rosé of Pinots Pinot Blanc-Pinot Noir (McMinnville),Yamhill Valley,Pinot Blanc-Pinot Noir,White,"This unusual rosé is a cofermentation of 80% Pinot Noir and 20% Pinot Blanc. It's an uneasy compromise, with neither grape really taking the lead. Kind of like one of those awkward wine and food combos where the whole is less than either of its parts. Sour strawberry flavors thin out quickly; that's about it.",US,Oregon,16,85
24667,24667,Laissez Faire 2015 Sauvignon Blanc-Chenin Blanc,Laissez Faire 2015 Sauvignon Blanc-Chenin Blanc,Laissez Faire,Sauvignon Blanc-Chenin Blanc,White,"Light aromas of herb, toasted grapenuts, peach and orange peel lead to off-dry stone-fruit flavors. It shows a touch of reduction but otherwise goes down easy.",US,Idaho,16,87
25013,25013,Cor Cellars 2012 Alba Celilo Vineyard Pinot Gris-Gewürztraminer (Columbia Gorge (WA)),Cor Cellars 2012 Alba Celilo Vineyard Pinot Gris-Gewürztraminer (Columbia Gorge (WA)),Cor Cellars,Pinot Gris-Gewürztraminer,Rose,"A blend of Pinot Gris and Gewürztraminer, it's vibrantly aromatic with notes of spice, white grapefruit, and lychee. The concrete tank aging provides a sense of freshness while Celilo Vineyard's electric acidity beautifully balances out the residual sugar (16.3 g/L).",US,Washington,20,90
25295,25295,Château d'Aydie 2012 Aramis Tannat-Syrah,Château d'Aydie 2012 Aramis Tannat-Syrah,Château d'Aydie,Tannat-Syrah,Red,"Aydie's easy drinking wine, showing off the fruity side of Tannat. It has ripe fruits, light acidity and tannins and a hint of spice. This is a great wine for barbecues with its easy quaffing character right at the fore. Drink now. Screwcap.",France,Southwest France,10,86
25569,25569,Finca La Estacada 2015 Ocho y Media Tinto Velasco (Vino de la Tierra de Castilla),Finca La Estacada 2015 Ocho y Media Tinto Velasco (Vino de la Tierra de Castilla),Finca La Estacada,Tinto Velasco,Red,"A fruit-forward nose with earthy plum and berry aromas leads to a sharp, lively palate with high acidity. Plum and berry flavors are rendered angular by said acidity, while mild salty notes rise up on the finish.",Spain,Central Spain,9,85
25631,25631,Mediterra 2007 Vilana (Crete),Mediterra 2007 Vilana (Crete),Mediterra,Vilana,White,"Aromas of minerals, citrus and tropical fruit are followed by a combination of fresh fruit, minerals and spice in this Cretan indigenous white. Unique and food friendly.",Greece,Crete,21,85
26079,26079,Argiolas 2014 S'Elegas  (Nuragus di Cagliari),Argiolas 2014 S'Elegas  (Nuragus di Cagliari),Argiolas,Nuragus,White,"Aromas of white wild flower, white stone fruit, lemon zest and Mediterranean herb lead the nose on this vibrant white. The juicy palate offers succulent peach, pear and nectarine while crisp acidity gives it a clean, refreshing finish. It closes on an almond note.",Italy,Sicily & Sardinia,16,88
26199,26199,K&K; Vasilikon 2010 Xynisteri (Pafos),K&K; Vasilikon 2010 Xynisteri (Pafos),K&K; Vasilikon,Xynisteri,White,"This Cypriot white has a rich, lemony nose and on the palate, a delicate array of white and yellow fruit. The finish is crisp and clean, but overall, the wine has some weight. A good everyday white made from an ancient grape.",Cyprus,Pafos,16,85
26332,26332,Eszterbauer 2015 Sógor Kadarka (Szekszárd),Eszterbauer 2015 Sógor Kadarka (Szekszárd),Eszterbauer,Kadarka,Red,"This light ruby-colored wine is made from Kadarka grapes. It has cherry and Mediterranean herb aromas and raspberry, baking spice and dried cherry flavors. It's balanced, with soft tannins and a fruity finish.",Hungary,Szekszárd,20,87
26341,26341,Flora Springs 1999 Soliloquy Sauvignon Musqué (Napa Valley),Flora Springs 1999 Soliloquy Sauvignon Musqué (Napa Valley),Flora Springs,Sauvignon Musqué,White,"Fragrant, with aromas of pear, pink grapefruit and wet stones. Similar flavors carry onto the palate, which also tosses out some banana and melon. The finish is thinner than might be expected given the fact that this has a soft, big body.",US,California,18,87
26688,26688,Principe Pallavicini 2012 Amarasco Cesanese (Lazio),Principe Pallavicini 2012 Amarasco Cesanese (Lazio),Principe Pallavicini,Cesanese,Red,"Made from old vines of Cesanese, this structured red offers an intriguing fragrance of violets, rose, red berry, scorched earth and a whiff of nutmeg. The bright, juicy palate delivers wild cherry, orange peel, clove and baking spice alongside supple, smooth tannins.",Italy,Central Italy,20,90
26824,26824,La Vis 2011 L'altro Manzoni Maso Franch Incrocio Manzoni (Vigneti delle Dolomiti),La Vis 2011 L'altro Manzoni Maso Franch Incrocio Manzoni (Vigneti delle Dolomiti),La Vis,Incrocio Manzoni,White,"Incrocio Manzoni results from a crossing between Riesling and Pinot blanc grapes. Delicate aromas recall white flowers and stone fruit. The elegant palate offers yellow apple, apricot and a hint of pineapple alongside bright acidity.",Italy,Northeastern Italy,25,88
26853,26853,Blandy's 1980 White (Madeira),Blandy's 1980 White (Madeira),Blandy's,Terrantez,Red,"Here is a remarkable rarity. The Terrantez grape is the rarest of all the Madeira grapes and also produces the most long-lived wines with examples from the 18th century still drinkable. This much younger wine, with its old-gold color, is the epitome of that tension in some Madeira between sweetness and intense acidity. Lime marmalade and huge concentration mark out this very fine wine.",Portugal,Madeira,236,95
